,id,name_en,rarity,type,gender,slot_1,slot_2,slot_3,defense_base,defense_max,defense_augment_max,defense_fire,defense_water,defense_thunder,defense_ice,defense_dragon,base_name_en,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty,base_name_en,skill1_name,skill1_level,skill2_name,skill2_level
0,1,Leather Headgear,1,head,both,0,0,0,2,38,68,2,0,0,0,0,Leather Headgear,Iron Ore,2,None,None,None,None,None,None,Leather Headgear,Hunger Resistance,1.0,None,None
1,2,Leather Mail,1,chest,both,0,0,0,2,38,68,2,0,0,0,0,Leather Mail,Iron Ore,1,None,None,None,None,None,None,Leather Mail,None,None,None,None
2,3,Leather Gloves,1,arms,both,0,0,0,2,38,68,2,0,0,0,0,Leather Gloves,Iron Ore,1,None,None,None,None,None,None,Leather Gloves,None,None,None,None
3,4,Leather Belt,1,waist,both,0,0,0,2,38,68,2,0,0,0,0,Leather Belt,Iron Ore,1,None,None,None,None,None,None,Leather Belt,None,None,None,None
4,5,Leather Trousers,1,legs,both,0,0,0,2,38,68,2,0,0,0,0,Leather Trousers,Iron Ore,1,None,None,None,None,None,None,Leather Trousers,None,None,None,None
5,6,Chainmail Headgear,1,head,both,0,0,0,2,38,68,0,2,0,0,0,Chainmail Headgear,Iron Ore,2,None,None,None,None,None,None,Chainmail Headgear,Master Gatherer,1.0,None,None
6,7,Chainmail Vest,1,chest,both,0,0,0,2,38,68,0,2,0,0,0,Chainmail Vest,Iron Ore,1,None,None,None,None,None,None,Chainmail Vest,None,None,None,None
7,8,Chainmail Gloves,1,arms,both,0,0,0,2,38,68,0,2,0,0,0,Chainmail Gloves,Iron Ore,1,None,None,None,None,None,None,Chainmail Gloves,None,None,None,None
8,9,Chainmail Belt,1,waist,both,0,0,0,2,38,68,0,2,0,0,0,Chainmail Belt,Iron Ore,1,None,None,None,None,None,None,Chainmail Belt,None,None,None,None
9,10,Chainmail Trousers,1,legs,both,0,0,0,2,38,68,0,2,0,0,0,Chainmail Trousers,Iron Ore,1,None,None,None,None,None,None,Chainmail Trousers,None,None,None,None
10,11,Hunter's Headgear,1,head,both,0,0,0,6,42,72,2,2,0,0,0,Hunter's Headgear,Jagras Hide,2,Jagras Scale,2.0,None,None,None,None,Hunter's Headgear,Scoutfly Range Up,1.0,None,None
11,12,Hunter's Mail,1,chest,both,0,0,0,6,42,72,2,2,0,0,0,Hunter's Mail,Jagras Hide,2,Monster Bone S,2.0,None,None,None,None,Hunter's Mail,Slinger Capacity,1.0,None,None
12,13,Hunter's Vambraces,1,arms,both,0,0,0,6,42,72,2,2,0,0,0,Hunter's Vambraces,Jagras Hide,1,Jagras Scale,1.0,None,None,None,None,Hunter's Vambraces,Stealth,1.0,None,None
13,14,Hunter's Coil,1,waist,both,0,0,0,6,42,72,2,2,0,0,0,Hunter's Coil,Jagras Hide,1,Monster Bone S,1.0,None,None,None,None,Hunter's Coil,Scenthound,1.0,None,None
14,15,Hunter's Greaves,1,legs,both,0,0,0,6,42,72,2,2,0,0,0,Hunter's Greaves,Jagras Hide,1,Monster Bone S,1.0,None,None,None,None,Hunter's Greaves,BBQ Master,1.0,None,None
15,16,Bone Helm,1,head,both,0,0,0,6,42,72,2,0,2,0,2,Bone Helm,Monster Bone S,2,Ancient Bone,2.0,None,None,None,None,Bone Helm,Health Boost,1.0,None,None
16,17,Bone Mail,1,chest,both,0,0,0,6,42,72,2,0,2,0,2,Bone Mail,Monster Bone S,1,Ancient Bone,1.0,None,None,None,None,Bone Mail,Attack Boost,1.0,None,None
