,id,name_en,previous_en,rarity,skill1_name,skill1_level,skill2_name,skill2_level,base_name_en,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
0,1,Poison Charm I,None,3,Poison Resistance,1,None,None,Poison Charm I,Create,Pukei-Pukei Sac,1,Pukei-Pukei Tail,2,Earth Crystal,4,Aquacore Ore,1.0
1,2,Poison Charm II,Poison Charm I,5,Poison Resistance,2,None,None,Poison Charm II,Upgrade,Pukei-Pukei Sac+,2,Pukei-Pukei Wing,2,Dragonvein Crystal,3,Spiritcore Ore,1.0
2,3,Poison Charm III,Poison Charm II,6,Poison Resistance,3,None,None,Poison Charm III,Upgrade,Rathalos Ruby,1,Rathalos Wing,2,Firecell Stone,1,Dreamcore Ore,1.0
3,4,Attack Charm I,None,3,Attack Boost,1,None,None,Attack Charm I,Create,Sturdy Bone,4,Boulder Bone,4,Lightcrystal,1,Aquacore Ore,1.0
4,5,Attack Charm II,Attack Charm I,5,Attack Boost,2,None,None,Attack Charm II,Upgrade,Quality Bone,3,Dragonbone Relic,1,Novacrystal,1,Spiritcore Ore,1.0
5,6,Attack Charm III,Attack Charm II,7,Attack Boost,3,None,None,Attack Charm III,Upgrade,Elder Dragon Bone,2,High Commendation,1,Brutal Bone,2,Dreamcore Ore,1.0
6,235,Attack Charm IV,Attack Charm III,11,Attack Boost,4,None,None,Attack Charm IV,Upgrade,Annihilating Greathorn,3,Diablos Hardhorn,1,Large Elder Dragon Gem,1,Phantomcore Ore,1.0
7,7,Defense Charm I,None,3,Defense Boost,1,None,None,Defense Charm I,Create,Dragonite Ore,4,Machalite Ore,4,Lightcrystal,1,Aquacore Ore,1.0
8,8,Defense Charm II,Defense Charm I,5,Defense Boost,2,None,None,Defense Charm II,Upgrade,Carbalite Ore,6,Dragonite Ore,8,Novacrystal,1,Spiritcore Ore,1.0
9,9,Defense Charm III,Defense Charm II,6,Defense Boost,3,None,None,Defense Charm III,Upgrade,Fucium Ore,6,Carbalite Ore,8,Firecell Stone,1,Dreamcore Ore,1.0
10,236,Defense Charm IV,Defense Charm III,9,Defense Boost,4,None,None,Defense Charm IV,Upgrade,Fey Wyvern Gem,1,Frozen Bone,4,Purecrystal,1,Dragoncore Ore,1.0
11,237,Defense Charm V,Defense Charm IV,11,Defense Boost,5,None,None,Defense Charm V,Upgrade,Shara Ishvalda Tenderplate,1,Shara Ishvalda Boulderplate,4,Large Elder Dragon Gem,1,Phantomcore Ore,1.0
12,10,Paralysis Charm I,None,3,Paralysis Resistance,1,None,None,Paralysis Charm I,Create,Great Girros Hood,1,Great Girros Fang,2,Warped Bone,6,Aquacore Ore,1.0
13,11,Paralysis Charm II,Paralysis Charm I,5,Paralysis Resistance,2,None,None,Paralysis Charm II,Upgrade,Great Girros Hood+,2,Omniplegia Sac,4,Dragonvein Crystal,3,Spiritcore Ore,1.0
14,12,Paralysis Charm III,Paralysis Charm II,7,Paralysis Resistance,3,None,None,Paralysis Charm III,Upgrade,Teostra Gem,1,Teostra Horn+,2,Firecell Stone,1,Dreamcore Ore,1.0
15,13,Sleep Charm I,None,3,Sleep Resistance,1,None,None,Sleep Charm I,Create,Radobaan Marrow,1,Radobaan Oilshell,2,Coral Crystal,3,Aquacore Ore,1.0
16,14,Sleep Charm II,Sleep Charm I,5,Sleep Resistance,2,None,None,Sleep Charm II,Upgrade,Radobaan Medulla,1,Radobaan Oilshell,3,Dragonvein Crystal,3,Spiritcore Ore,1.0
17,15,Sleep Charm III,Sleep Charm II,6,Sleep Resistance,3,None,None,Sleep Charm III,Upgrade,Uragaan Ruby,1,Uragaan Jaw,2,Firecell Stone,1,Dreamcore Ore,1.0
18,16,Stun Charm I,None,3,Stun Resistance,1,None,None,Stun Charm I,Create,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Claw,2,Coral Crystal,4,Aquacore Ore,1.0
19,17,Stun Charm II,Stun Charm I,5,Stun Resistance,2,None,None,Stun Charm II,Upgrade,Tzitzi-Ya-Ku Photophore+,2,Tzitzi-Ya-Ku Claw+,2,Novacrystal,1,Spiritcore Ore,1.0
20,18,Stun Charm III,Stun Charm II,6,Stun Resistance,3,None,None,Stun Charm III,Upgrade,Black Spiral Horn+,3,Black Diablos Ridge+,2,Brutal Bone,2,Dreamcore Ore,1.0
21,19,Windproof Charm I,None,3,Windproof,1,None,None,Windproof Charm I,Create,Paolumu Webbing,3,Paolumu Shell,5,Coral Crystal,3,Aquacore Ore,1.0
22,20,Windproof Charm II,Windproof Charm I,5,Windproof,2,None,None,Windproof Charm II,Upgrade,Paolumu Wing,3,Wyvern Gem,2,Dragonvein Crystal,1,Spiritcore Ore,1.0
23,21,Windproof Charm III,Windproof Charm II,6,Windproof,3,None,None,Windproof Charm III,Upgrade,Azure Rathalos Wing,3,Rathalos Ruby,1,Novacrystal,1,Dreamcore Ore,1.0
24,238,Windproof Charm IV,Windproof Charm III,11,Windproof,4,None,None,Windproof Charm IV,Upgrade,Stormcall Steelwing,3,Tigrex Mantle,1,Elder Dragonvein Bone,4,Phantomcore Ore,1.0
25,22,Health Charm I,None,3,Health Boost,1,None,None,Health Charm I,Create,Rathian Plate,1,Rathian Webbing,3,Earth Crystal,3,Aquacore Ore,1.0
26,23,Health Charm II,Health Charm I,5,Health Boost,2,None,None,Health Charm II,Upgrade,Rathian Ruby,1,Rathian Spike,2,Dragonvein Crystal,3,Spiritcore Ore,1.0
27,24,Health Charm III,Health Charm II,7,Health Boost,3,None,None,Health Charm III,Upgrade,Nergigante Gem,1,Nergigante Talon,2,Brutal Bone,2,Dreamcore Ore,1.0
28,25,Recovery Charm I,None,3,Recovery Up,1,None,None,Recovery Charm I,Create,Rathian Plate,1,Rathian Spike,2,Earth Crystal,3,Aquacore Ore,1.0
29,26,Recovery Charm II,Recovery Charm I,6,Recovery Up,2,None,None,Recovery Charm II,Upgrade,Pink Rathian Carapace,2,Rathian Spike+,1,Novacrystal,1,Spiritcore Ore,1.0
30,27,Recovery Charm III,Recovery Charm II,7,Recovery Up,3,None,None,Recovery Charm III,Upgrade,Nergigante Gem,1,Nergigante Talon,2,Brutal Bone,2,Dreamcore Ore,1.0
31,28,Fire Charm I,None,3,Fire Resistance,1,None,None,Fire Charm I,Create,Anjanath Plate,1,Anjanath Fang,2,Warped Bone,3,Aquacore Ore,1.0
32,29,Fire Charm II,Fire Charm I,5,Fire Resistance,2,None,None,Fire Charm II,Upgrade,Anjanath Gem,1,Anjanath Fang+,2,Earth Crystal,4,Spiritcore Ore,1.0
33,30,Fire Charm III,Fire Charm II,7,Fire Resistance,3,None,None,Fire Charm III,Upgrade,High Commendation,1,Rathalos Ruby,1,Inferno Sac,3,Dreamcore Ore,1.0
34,31,Water Charm I,None,3,Water Resistance,1,None,None,Water Charm I,Create,Jyuratodus Fin,3,Jyuratodus Fang,3,Earth Crystal,6,Aquacore Ore,1.0
35,32,Water Charm II,Water Charm I,5,Water Resistance,2,None,None,Water Charm II,Upgrade,Jyuratodus Fin+,3,Jyuratodus Fang+,2,Coral Crystal,4,Spiritcore Ore,1.0
36,33,Water Charm III,Water Charm II,7,Water Resistance,3,None,None,Water Charm III,Upgrade,High Commendation,1,Wyvern Gem,1,Torrent Sac,3,Dreamcore Ore,1.0
37,34,Thunder Charm I,None,3,Thunder Resistance,1,None,None,Thunder Charm I,Create,Tobi-Kadachi Electrode,1,Tobi-Kadachi Claw,2,Ancient Bone,6,Aquacore Ore,1.0
38,35,Thunder Charm II,Thunder Charm I,5,Thunder Resistance,2,None,None,Thunder Charm II,Upgrade,Tobi-Kadachi Electrode+,1,Tobi-Kadachi Claw+,2,Earth Crystal,4,Spiritcore Ore,1.0
39,36,Thunder Charm III,Thunder Charm II,7,Thunder Resistance,3,None,None,Thunder Charm III,Upgrade,High Commendation,1,Wyvern Gem,1,Thunder Sac,3,Dreamcore Ore,1.0
40,37,Blaze Charm I,None,3,Fire Attack,1,None,None,Blaze Charm I,Create,Anjanath Plate,1,Anjanath Fang,2,Warped Bone,3,Aquacore Ore,1.0
41,38,Blaze Charm II,Blaze Charm I,6,Fire Attack,2,None,None,Blaze Charm II,Upgrade,Lavasioth Fin+,3,Lavasioth Fang+,2,Earth Crystal,6,Spiritcore Ore,1.0
42,39,Blaze Charm III,Blaze Charm II,7,Fire Attack,3,None,None,Blaze Charm III,Upgrade,Teostra Gem,1,Teostra Horn+,2,Inferno Sac,3,Dreamcore Ore,1.0
43,239,Blaze Charm IV,Blaze Charm III,10,Fire Attack,4,None,None,Blaze Charm IV,Upgrade,Anjanath Mantle,1,Flickering Flamepelt,4,Fierce Dragonvein Bone,4,Phantomcore Ore,1.0
44,240,Blaze Charm V,Blaze Charm IV,11,Fire Attack,5,None,None,Blaze Charm V,Upgrade,Tempered Red Scale,3,Tempered Flamepelt,3,Spiritvein Solidbone,4,Phantomcore Ore,1.0
45,40,Flood Charm I,None,3,Water Attack,1,None,None,Flood Charm I,Create,Jyuratodus Fin,2,Jyuratodus Fang,2,Earth Crystal,3,Aquacore Ore,1.0
46,41,Flood Charm II,Flood Charm I,5,Water Attack,2,None,None,Flood Charm II,Upgrade,Jyuratodus Fin+,3,Jyuratodus Fang+,2,Coral Crystal,6,Spiritcore Ore,1.0
47,42,Flood Charm III,Flood Charm II,7,Water Attack,3,None,None,Flood Charm III,Upgrade,Vaal Hazak Gem,1,Vaal Hazak Talon,2,Torrent Sac,3,Dreamcore Ore,1.0
