,id,name_en,weapon_type_x,previous_en,category,rarity,attack,affinity,defense,element_hidden,element1,element1_attack,element2,element2_attack,elderseal,slot_1,slot_2,slot_3,kinsect_bonus,phial,phial_power,shelling,shelling_level,notes,ammo_config,skill,base_name_en,weapon_type_y,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty,weapon_type,maxed,red,orange,yellow,green,blue,white,purple
0,2001,Defender Great Sword I,great-sword,N/A,N/A,1,624,0,N/A,False,Blast,240.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Defender Great Sword I,great-sword,Create,Iron Ore,1,N/A,N/A,N/A,N/A,N/A,N/A,great-sword,False,30,60,20,140,0,0,0
1,2002,Defender Great Sword II,great-sword,Defender Great Sword I,N/A,3,816,0,N/A,False,Blast,270.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Defender Great Sword II,great-sword,Upgrade,Anjanath Scale,1,N/A,N/A,N/A,N/A,N/A,N/A,great-sword,False,30,60,20,150,40,0,0
2,2003,Defender Great Sword III,great-sword,Defender Great Sword II,N/A,5,912,0,N/A,False,Blast,330.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Defender Great Sword III,great-sword,Upgrade,Commendation,1,N/A,N/A,N/A,N/A,N/A,N/A,great-sword,False,50,50,50,80,120,0,0
3,2004,Defender Great Sword IV,great-sword,Defender Great Sword III,N/A,6,1008,0,N/A,False,Blast,360.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Defender Great Sword IV,great-sword,Upgrade,Pink Rathian Scale+,1,N/A,N/A,N/A,N/A,N/A,N/A,great-sword,False,30,50,50,80,140,0,0
4,2005,Defender Great Sword V,great-sword,Defender Great Sword IV,N/A,7,1056,0,N/A,False,Blast,390.0,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Defender Great Sword V,great-sword,Upgrade,Immortal Dragonscale,1,N/A,N/A,N/A,N/A,N/A,N/A,great-sword,False,90,30,30,110,40,100,0
5,1,Buster Sword I,great-sword,N/A,N/A,1,384,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buster Sword I,great-sword,Create,Iron Ore,1,N/A,N/A,N/A,N/A,N/A,N/A,great-sword,False,100,50,80,20,0,0,0
6,2,Buster Sword II,great-sword,Buster Sword I,N/A,1,432,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buster Sword II,great-sword,Upgrade,Iron Ore,2,N/A,N/A,N/A,N/A,N/A,N/A,great-sword,False,70,70,30,80,0,0,0
7,3,Buster Sword III,great-sword,Buster Sword II,N/A,2,480,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buster Sword III,great-sword,Upgrade,Earth Crystal,2,Machalite Ore,2.0,Iron Ore,5.0,N/A,N/A,great-sword,False,60,70,30,90,0,0,0
8,4,Buster Blade I,great-sword,Buster Sword III,N/A,3,576,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buster Blade I,great-sword,Upgrade,Dragonite Ore,2,Machalite Ore,5.0,Monster Bone M,2.0,N/A,N/A,great-sword,False,70,50,80,100,0,0,0
9,5,Buster Blade II,great-sword,Buster Blade I,N/A,4,624,0,N/A,False,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Buster Blade II,great-sword,Upgrade,Monster Bone+,2,Dragonite Ore,5.0,Coral Crystal,2.0,Machalite Ore,10.0,great-sword,False,60,50,80,110,0,0,0
